letter,english,french,german,spanish,portuguese,esperanto,italian,turkish,swedish,polish,dutch,danish,icelandic,finnish,czech,lithuanian
a,0.0817,0.0764,0.0652,0.1253,0.1463,0.1212,0.1174,0.1192,0.0938,0.0891,0.0749,0.0603,0.1011,0.1222,0.0817,0.1119
b,0.0149,0.0090,0.0189,0.0142,0.0104,0.0098,0.0093,0.0284,0.0153,0.0147,0.0158,0.0200,0.0104,0.0028,0.0082,0.0148
c,0.0278,0.0326,0.0306,0.0468,0.0388,0.0078,0.0450,0.0096,0.0149,0.0396,0.0124,0.0056,0.0000,0.0028,0.0074,0.0060
d,0.0425,0.0367,0.0508,0.0581,0.0499,0.0304,0.0374,0.0471,0.0470,0.0325,0.0593,0.0586,0.0158,0.0104,0.0348,0.0258
e,0.1270,0.1472,0.1740,0.1368,0.1257,0.0899,0.1179,0.0891,0.1015,0.0766,0.1891,0.1545,0.0642,0.0797,0.0756,0.0562
f,0.0223,0.0107,0.0166,0.0069,0.0102,0.0104,0.0115,0.0046,0.0203,0.0030,0.0080,0.0241,0.0301,0.0019,0.0008,0.0035
g,0.0202,0.0087,0.0301,0.0101,0.0130,0.0117,0.0164,0.0125,0.0286,0.0142,0.0340,0.0408,0.0424,0.0039,0.0009,0.0179
h,0.0609,0.0074,0.0458,0.0070,0.0078,0.0038,0.0064,0.0121,0.0209,0.0108,0.0238,0.0162,0.0187,0.0185,0.0136,0.0028
i,0.0697,0.0753,0.0755,0.0625,0.0619,0.1001,0.1014,0.0860,0.0582,0.0821,0.0650,0.0600,0.0758,0.1082,0.0607,0.1296
j,0.0015,0.0061,0.0027,0.0049,0.0040,0.0350,0.0001,0.0003,0.0061,0.0228,0.0146,0.0073,0.0114,0.0204,0.0143,0.0234
k,0.0077,0.0007,0.0122,0.0001,0.0001,0.0416,0.0001,0.0468,0.0314,0.0351,0.0225,0.0340,0.0331,0.0497,0.0289,0.0417
l,0.0403,0.0546,0.0344,0.0497,0.0278,0.0610,0.0651,0.0592,0.0528,0.0210,0.0357,0.0523,0.0453,0.0576,0.0380,0.0350
m,0.0241,0.0297,0.0253,0.0316,0.0474,0.0299,0.0251,0.0375,0.0347,0.0280,0.0221,0.0324,0.0404,0.0320,0.0245,0.0358
n,0.0675,0.0709,0.0978,0.0671,0.0445,0.0795,0.0688,0.0749,0.0854,0.0552,0.1003,0.0724,0.0771,0.0883,0.0647,0.0514
o,0.0751,0.0580,0.0251,0.0868,0.0973,0.0878,0.0983,0.0248,0.0448,0.0775,0.0606,0.0464,0.0217,0.0561,0.0670,0.0674
p,0.0193,0.0252,0.0079,0.0251,0.0252,0.0275,0.0306,0.0089,0.0184,0.0313,0.0157,0.0176,0.0079,0.0184,0.0191,0.0273
q,0.0009,0.0136,0.0002,0.0088,0.0120,0.0000,0.0050,0.0000,0.0002,0.0014,0.0001,0.0001,0.0000,0.0001,0.0000,0.0001
r,0.0599,0.0669,0.0700,0.0687,0.0653,0.0591,0.0637,0.0672,0.0843,0.0469,0.0641,0.0896,0.0858,0.0287,0.0480,0.0567
s,0.0633,0.0795,0.0727,0.0798,0.0680,0.0609,0.0498,0.0301,0.0659,0.0432,0.0373,0.0580,0.0563,0.0786,0.0521,0.0788
t,0.0906,0.0724,0.0615,0.0463,0.0434,0.0528,0.0562,0.0331,0.0769,0.0398,0.0679,0.0686,0.0495,0.0875,0.0573,0.0533
u,0.0276,0.0631,0.0435,0.0293,0.0364,0.0318,0.0301,0.0323,0.0192,0.0250,0.0199,0.0198,0.0456,0.0501,0.0216,0.0459
v,0.0098,0.0184,0.0085,0.0090,0.0158,0.0190,0.0210,0.0096,0.0242,0.0004,0.0285,0.0233,0.0244,0.0225,0.0534,0.0266
w,0.0236,0.0005,0.0189,0.0002,0.0004,0.0000,0.0003,0.0000,0.0014,0.0465,0.0152,0.0007,0.0000,0.0009,0.0002,0.0004
x,0.0015,0.0043,0.0003,0.0022,0.0025,0.0000,0.0000,0.0000,0.0016,0.0002,0.0004,0.0003,0.0005,0.0003,0.0003,0.0007
y,0.0197,0.0013,0.0004,0.0090,0.0001,0.0000,0.0002,0.0334,0.0071,0.0376,0.0004,0.0070,0.0090,0.0175,0.0104,0.0143
z,0.0007,0.0033,0.0113,0.0047,0.0047,0.0049,0.0118,0.0150,0.0007,0.0564,0.0139,0.0003,0.0000,0.0005,0.0160,0.0035
à,0.0000,0.0049,0.0000,0.0000,0.0007,0.0000,0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
â,0.0000,0.0005,0.0000,0.0000,0.0056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
á,0.0000,0.0000,0.0000,0.0050,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0180,0.0000,0.0087,0.0000
å,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0134,0.0000,0.0000,0.0119,0.0000,0.0000,0.0000,0.0000
ä,0.0000,0.0000,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0180,0.0000,0.0000,0.0000,0.0000,0.0358,0.0000,0.0000
ã,0.0000,0.0000,0.0000,0.0000,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ą,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0054
æ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0087,0.0087,0.0000,0.0000,0.0000
œ,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ç,0.0000,0.0009,0.0000,0.0000,0.0053,0.0000,0.0000,0.0116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ĉ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ć,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
č,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0046,0.0043
ď,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000
ð,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0439,0.0000,0.0000,0.0000
è,0.0000,0.0027,0.0000,0.0000,0.0000,0.0000,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
é,0.0000,0.0150,0.0000,0.0043,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0065,0.0000,0.0063,0.0000
ê,0.0000,0.0022,0.0000,0.0000,0.0045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ë,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ė,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0166
ę,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0017
ě,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0122,0.0000
ĝ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ğ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ĥ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
î,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ì,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
í,0.0000,0.0000,0.0000,0.0072,0.0013,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0157,0.0000,0.0164,0.0000
ï,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ı,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
į,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0048
ĵ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ł,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ñ,0.0000,0.0000,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ń,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ň,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000
ò,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ö,0.0000,0.0000,0.0044,0.0000,0.0000,0.0000,0.0000,0.0078,0.0130,0.0000,0.0000,0.0000,0.0078,0.0044,0.0000,0.0000
ô,0.0000,0.0002,0.0000,0.0000,0.0063,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ó,0.0000,0.0000,0.0000,0.0083,0.0030,0.0000,0.0000,0.0000,0.0000,0.0085,0.0000,0.0000,0.0099,0.0000,0.0002,0.0000
õ,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ø,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,0.0000,0.0000,0.0000,0.0000
ř,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,0.0000
ŝ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ş,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ś,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
š,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,0.0113
ß,0.0000,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ť,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000
þ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0146,0.0000,0.0000,0.0000
ù,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ú,0.0000,0.0000,0.0000,0.0017,0.0021,0.0000,0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,0.0000,0.0004,0.0000
û,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ŭ,0.0000,0.0000,0.0000,0.0000,0.0000,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ü,0.0000,0.0000,0.0100,0.0001,0.0003,0.0000,0.0000,0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ů,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000
ų,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126
ū,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0041
ý,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0000,0.0100,0.0000
ź,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ż,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
